,actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
1063,Julia Roberts,Bronagh Gallagher,George Cole,Stephen Frears,Drama|Horror|Romance|Thriller,mary reilly,Julia Roberts Bronagh Gallagher George Cole Stephen Frears Drama|Horror|Romance|Thriller
1064,Julia Roberts,Christopher Masterson,Rupert Everett,P.J. Hogan,Comedy|Romance,my best friend's wedding,Julia Roberts Christopher Masterson Rupert Everett P.J. Hogan Comedy|Romance
1065,Julia Roberts,Rainn Wilson,Larry King,Joe Roth,Comedy|Romance,america's sweethearts,Julia Roberts Rainn Wilson Larry King Joe Roth Comedy|Romance
1066,Al Pacino,Maura Tierney,Crystal Lowe,Christopher Nolan,Drama|Mystery|Thriller,insomnia,Al Pacino Maura Tierney Crystal Lowe Christopher Nolan Drama|Mystery|Thriller
1067,LeVar Burton,Alfre Woodard,Jonathan Frakes,Jonathan Frakes,Action|Adventure|Drama|Sci-Fi|Thriller,star trek: first contact,LeVar Burton Alfre Woodard Jonathan Frakes Jonathan Frakes Action|Adventure|Drama|Sci-Fi|Thriller
1068,Michael Fassbender,Billy Blair,Julia Jones,Jimmy Hayward,Action|Drama|Fantasy|Thriller|Western,jonah hex,Michael Fassbender Billy Blair Julia Jones Jimmy Hayward Action|Drama|Fantasy|Thriller|Western
1069,Denzel Washington,Matt Damon,Scott Glenn,Edward Zwick,Action|Drama|Mystery|Thriller|War,courage under fire,Denzel Washington Matt Damon Scott Glenn Edward Zwick Action|Drama|Mystery|Thriller|War
1070,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb,Tom Shadyac,Comedy|Fantasy|Romance,liar liar,Maura Tierney Swoosie Kurtz Randall 'Tex' Cobb Tom Shadyac Comedy|Fantasy|Romance
1071,Joseph Gilgun,Amy Ryan,Olympia Dukakis,Brad Furman,Biography|Crime|Drama|Thriller,the infiltrator,Joseph Gilgun Amy Ryan Olympia Dukakis Brad Furman Biography|Crime|Drama|Thriller
1072,Laurence Olivier,Ben Gazzara,Jacqueline Bisset,Terence Young,Drama|History|War,inchon,Laurence Olivier Ben Gazzara Jacqueline Bisset Terence Young Drama|History|War
1073,Jonathan Winters,Elizabeth Perkins,Harvey Korman,Brian Levant,Comedy|Family|Fantasy,the flintstones,Jonathan Winters Elizabeth Perkins Harvey Korman Brian Levant Comedy|Family|Fantasy
1074,Liam Neeson,Luke Grimes,D.B. Sweeney,Olivier Megaton,Action|Crime|Thriller,taken 2,Liam Neeson Luke Grimes D.B. Sweeney Olivier Megaton Action|Crime|Thriller
1075,Regina Hall,Pamela Anderson,Jenny McCarthy,David Zucker,Comedy,scary movie 3,Regina Hall Pamela Anderson Jenny McCarthy David Zucker Comedy
1076,Candice Bergen,Wendy Raquel Robinson,Heather Burns,Donald Petrie,Action|Comedy|Crime|Romance,miss congeniality,Candice Bergen Wendy Raquel Robinson Heather Burns Donald Petrie Action|Comedy|Crime|Romance
1077,Josh Hutcherson,Brendan Fraser,Anita Briem,Eric Brevig,Action|Adventure|Family|Fantasy|Sci-Fi,journey to the center of the earth,Josh Hutcherson Brendan Fraser Anita Briem Eric Brevig Action|Adventure|Family|Fantasy|Sci-Fi
1078,Anne Hathaway,Raven-Symoné,Hector Elizondo,Garry Marshall,Comedy|Family|Romance,the princess diaries 2: royal engagement,Anne Hathaway Raven-Symoné Hector Elizondo Garry Marshall Comedy|Family|Romance
1079,Denzel Washington,Julia Roberts,Tony Goldwyn,Alan J. Pakula,Crime|Drama|Mystery|Thriller,the pelican brief,Denzel Washington Julia Roberts Tony Goldwyn Alan J. Pakula Crime|Drama|Mystery|Thriller
1080,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Joel Schumacher,Crime|Drama|Mystery|Thriller,the client,Bradley Whitford Anthony LaPaglia Brad Renfro Joel Schumacher Crime|Drama|Mystery|Thriller
1081,Morgan Freeman,Noel Gugliemi,Sean Hayes,Rob Reiner,Adventure|Comedy|Drama,the bucket list,Morgan Freeman Noel Gugliemi Sean Hayes Rob Reiner Adventure|Comedy|Drama
1082,Harrison Ford,Polly Walker,Patrick Bergin,Phillip Noyce,Action|Thriller,patriot games,Harrison Ford Polly Walker Patrick Bergin Phillip Noyce Action|Thriller
1083,Adam Scott,Jane Fonda,Elaine Stritch,Robert Luketic,Comedy|Romance,monster-in-law,Adam Scott Jane Fonda Elaine Stritch Robert Luketic Comedy|Romance
1084,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Denis Villeneuve,Crime|Drama|Mystery|Thriller,prisoners,Hugh Jackman Jake Gyllenhaal Dylan Minnette Denis Villeneuve Crime|Drama|Mystery|Thriller
1085,Denzel Washington,Snoop Dogg,Tom Berenger,Antoine Fuqua,Crime|Drama|Thriller,training day,Denzel Washington Snoop Dogg Tom Berenger Antoine Fuqua Crime|Drama|Thriller
1086,Alan Rickman,Enrico Colantoni,Robin Sachs,Dean Parisot,Adventure|Comedy|Sci-Fi,galaxy quest,Alan Rickman Enrico Colantoni Robin Sachs Dean Parisot Adventure|Comedy|Sci-Fi
1087,Natasha Lyonne,Veronica Cartwright,Andy Richter,Keenen Ivory Wayans,Comedy,scary movie 2,Natasha Lyonne Veronica Cartwright Andy Richter Keenen Ivory Wayans Comedy
1088,Bill Cobbs,Eric Jacobson,Steve Whitmire,James Bobin,Adventure|Comedy|Family|Musical,the muppets,Bill Cobbs Eric Jacobson Steve Whitmire James Bobin Adventure|Comedy|Family|Musical
1089,Sanaa Lathan,Traci Lords,Udo Kier,Stephen Norrington,Action|Horror,blade,Sanaa Lathan Traci Lords Udo Kier Stephen Norrington Action|Horror
1090,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Thomas Carter,Drama|Sport,coach carter,Channing Tatum Rick Gonzalez Robert Ri'chard Thomas Carter Drama|Sport
1091,Sydney Pollack,Matt Malloy,Bruce Altman,Roger Michell,Drama|Thriller,changing lanes,Sydney Pollack Matt Malloy Bruce Altman Roger Michell Drama|Thriller
1092,Frank Welker,Eric Stoltz,Kari Wuhrer,Luis Llosa,Action|Adventure|Horror|Thriller,anaconda,Frank Welker Eric Stoltz Kari Wuhrer Luis Llosa Action|Adventure|Horror|Thriller
1093,Adam Garcia,Tyra Banks,Izabella Miko,David McNally,Comedy|Drama|Music|Romance,coyote ugly,Adam Garcia Tyra Banks Izabella Miko David McNally Comedy|Drama|Music|Romance
1094,Colin Firth,Liam Neeson,Kris Marshall,Richard Curtis,Comedy|Drama|Romance,love actually,Colin Firth Liam Neeson Kris Marshall Richard Curtis Comedy|Drama|Romance
1095,Kevin Spacey,Madeline Kahn,John Ratzenberger,John Lasseter,Adventure|Animation|Comedy|Family|Fantasy,a bug's life,Kevin Spacey Madeline Kahn John Ratzenberger John Lasseter Adventure|Animation|Comedy|Family|Fantasy
1096,Johnny Depp,Jason Flemyng,Ian Richardson,Albert Hughes,Horror|Mystery|Thriller,from hell,Johnny Depp Jason Flemyng Ian Richardson Albert Hughes Horror|Mystery|Thriller
1097,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Luis Llosa,Action|Crime|Drama|Romance|Thriller,the specialist,Sylvester Stallone Rod Steiger Emilio Estefan Jr. Luis Llosa Action|Crime|Drama|Romance|Thriller
1098,Don Johnson,Cheech Marin,Rene Russo,Ron Shelton,Comedy|Drama|Romance|Sport,tin cup,Don Johnson Cheech Marin Rene Russo Ron Shelton Comedy|Drama|Romance|Sport
1099,Lucille Ball,Tom Bosley,Tim Matheson,Melville Shavelson,Comedy|Family,"yours, mine and ours",Lucille Ball Tom Bosley Tim Matheson Melville Shavelson Comedy|Family
1100,Josh Hutcherson,Will Ferrell,Robert Duvall,Jesse Dylan,Comedy|Family|Romance|Sport,kicking & screaming,Josh Hutcherson Will Ferrell Robert Duvall Jesse Dylan Comedy|Family|Romance|Sport
1101,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Garth Jennings,Adventure|Comedy|Sci-Fi,the hitchhiker's guide to the galaxy,Zooey Deschanel Kelly Macdonald Thomas Lennon Garth Jennings Adventure|Comedy|Sci-Fi
1102,Dania Ramirez,Nick Zano,Alice Greczyn,Joel Zwick,Comedy|Family|Fantasy|Romance,fat albert,Dania Ramirez Nick Zano Alice Greczyn Joel Zwick Comedy|Family|Fantasy|Romance
1103,Milla Jovovich,Mike Epps,James Tumminia,Russell Mulcahy,Action|Horror|Sci-Fi|Thriller,resident evil: extinction,Milla Jovovich Mike Epps James Tumminia Russell Mulcahy Action|Horror|Sci-Fi|Thriller
1104,Bella Thorne,Adam Sandler,Joel McHale,Frank Coraci,Comedy|Romance,blended,Bella Thorne Adam Sandler Joel McHale Frank Coraci Comedy|Romance
1105,LL Cool J,Alicia Witt,Timothy Hutton,Wayne Wang,Adventure|Comedy|Drama,last holiday,LL Cool J Alicia Witt Timothy Hutton Wayne Wang Adventure|Comedy|Drama
1106,Meryl Streep,Glenn Morshower,William Lucking,Curtis Hanson,Action|Adventure|Crime|Thriller,the river wild,Meryl Streep Glenn Morshower William Lucking Curtis Hanson Action|Adventure|Crime|Thriller
1107,Steve Coogan,Vincent Kartheiser,David Keith,Frank Oz,Drama|Family|Fantasy,the indian in the cupboard,Steve Coogan Vincent Kartheiser David Keith Frank Oz Drama|Family|Fantasy
1108,Demián Bichir,Shea Whigham,Gary Stretch,Oliver Stone,Crime|Drama|Thriller,savages,Demián Bichir Shea Whigham Gary Stretch Oliver Stone Crime|Drama|Thriller
1109,Richard Burgi,Valerie Cruz,Will Beinbrink,David R. Ellis,Action|Crime|Thriller,cellular,Richard Burgi Valerie Cruz Will Beinbrink David R. Ellis Action|Crime|Thriller
1110,Kevin McNally,Natalie Imbruglia,Ben Miller,Peter Howitt,Action|Adventure|Comedy,johnny english,Kevin McNally Natalie Imbruglia Ben Miller Peter Howitt Action|Adventure|Comedy
1111,Nicolas Cage,Meryl Streep,Julia Roberts,John A. Davis,Adventure|Animation|Comedy|Family|Fantasy,the ant bully,Nicolas Cage Meryl Streep Julia Roberts John A. Davis Adventure|Animation|Comedy|Family|Fantasy
1112,Virginia Madsen,Jürgen Prochnow,José Ferrer,David Lynch,Action|Adventure|Sci-Fi,dune,Virginia Madsen Jürgen Prochnow José Ferrer David Lynch Action|Adventure|Sci-Fi
1113,Jim Sturgess,T.V. Carpio,Robert Clohessy,Julie Taymor,Drama|Fantasy|Musical|Romance,across the universe,Jim Sturgess T.V. Carpio Robert Clohessy Julie Taymor Drama|Fantasy|Musical|Romance
1114,Leonardo DiCaprio,Kate Winslet,Joe Komara,Sam Mendes,Drama|Romance,revolutionary road,Leonardo DiCaprio Kate Winslet Joe Komara Sam Mendes Drama|Romance
1115,Bruce Willis,David Zayas,Sasha Roiz,Richard Donner,Action|Crime|Drama|Thriller,16 blocks,Bruce Willis David Zayas Sasha Roiz Richard Donner Action|Crime|Drama|Thriller
1116,Vin Diesel,Charlotte Rampling,David Belle,Mathieu Kassovitz,Action|Adventure|Sci-Fi|Thriller,babylon a.d.,Vin Diesel Charlotte Rampling David Belle Mathieu Kassovitz Action|Adventure|Sci-Fi|Thriller
1117,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,John Gray,Action|Comedy|Crime|Drama|Thriller,the glimmer man,Alexa PenaVega Bob Gunton Keenen Ivory Wayans John Gray Action|Comedy|Crime|Drama|Thriller
1118,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Harold Ramis,Comedy|Romance|Sci-Fi,multiplicity,John de Lancie Brian Doyle-Murray Obba Babatundé Harold Ramis Comedy|Romance|Sci-Fi
1119,Malese Jow,Carter Jenkins,Tim Meadows,John Schultz,Adventure|Comedy|Family|Fantasy|Sci-Fi,aliens in the attic,Malese Jow Carter Jenkins Tim Meadows John Schultz Adventure|Comedy|Family|Fantasy|Sci-Fi
1120,Costas Mandylor,Adrien Dorval,Nels Lennarson,Sean Penn,Crime|Drama|Mystery|Thriller,the pledge,Costas Mandylor Adrien Dorval Nels Lennarson Sean Penn Crime|Drama|Mystery|Thriller
1121,Jon Lovitz,Will Ferrell,Matthew Broderick,Susan Stroman,Comedy|Musical,the producers,Jon Lovitz Will Ferrell Matthew Broderick Susan Stroman Comedy|Musical
1122,Wood Harris,Jason Cope,Rakie Ayola,Pete Travis,Action|Sci-Fi,dredd,Wood Harris Jason Cope Rakie Ayola Pete Travis Action|Sci-Fi
1123,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Simon Wincer,Action|Adventure|Comedy|Fantasy,the phantom,Cary-Hiroyuki Tagawa Treat Williams Kristy Swanson Simon Wincer Action|Adventure|Comedy|Fantasy
1124,Matt Damon,Henry Thomas,Sam Shepard,Billy Bob Thornton,Drama|Romance|Western,all the pretty horses,Matt Damon Henry Thomas Sam Shepard Billy Bob Thornton Drama|Romance|Western
1125,Anthony Hopkins,Bob Hoskins,Joan Allen,Oliver Stone,Biography|Drama|History,nixon,Anthony Hopkins Bob Hoskins Joan Allen Oliver Stone Biography|Drama|History
1126,Jim Belushi,Olivia Williams,Timothy Hutton,Roman Polanski,Mystery|Thriller,the ghost writer,Jim Belushi Olivia Williams Timothy Hutton Roman Polanski Mystery|Thriller
1127,Djimon Hounsou,Jason Flemyng,Wes Studi,Stephen Sommers,Action|Adventure|Horror|Sci-Fi,deep rising,Djimon Hounsou Jason Flemyng Wes Studi Stephen Sommers Action|Adventure|Horror|Sci-Fi
1128,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Spike Lee,Action|Crime|Drama|Thriller|War,miracle at st. anna,Joseph Gordon-Levitt Omari Hardwick Laz Alonso Spike Lee Action|Crime|Drama|Thriller|War
1129,Li Gong,Ye Liu,Man Li,Yimou Zhang,Drama|Romance,curse of the golden flower,Li Gong Ye Liu Man Li Yimou Zhang Drama|Romance
1130,Nicolas Cage,Charlie Yeung,James With,Danny Pang,Action|Crime|Thriller,bangkok dangerous,Nicolas Cage Charlie Yeung James With Danny Pang Action|Crime|Thriller
1131,Zooey Deschanel,Janeane Garofalo,Omar Epps,Barry Sonnenfeld,Comedy|Crime|Thriller,big trouble,Zooey Deschanel Janeane Garofalo Omar Epps Barry Sonnenfeld Comedy|Crime|Thriller
1132,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Mike Newell,Drama|Romance,love in the time of cholera,Marcela Mar Giovanna Mezzogiorno Unax Ugalde Mike Newell Drama|Romance
1133,Pierre Perrier,Clotilde Hesme,Céline Sallette,unknown,Drama|Fantasy|Horror|Mystery,the returned            ,Pierre Perrier Clotilde Hesme Céline Sallette unknown Drama|Fantasy|Horror|Mystery
1134,Sam Waterston,Ben Gazzara,Nicholas Turturro,George P. Cosmatos,Action|Thriller,shadow conspiracy,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action|Thriller
1135,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Oliver Parker,Action|Adventure|Comedy|Crime,johnny english reborn,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action|Adventure|Comedy|Crime
1136,Jerry Stiller,Larry Miller,Harvey Fierstein,Lawrence Kasanoff,Action|Animation|Comedy|Family|Fantasy,foodfight!,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action|Animation|Comedy|Family|Fantasy
1137,Clea DuVall,Scoot McNairy,Tate Donovan,Ben Affleck,Biography|Drama|History|Thriller,argo,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography|Drama|History|Thriller
1138,Harrison Ford,Daniel Roebuck,Sela Ward,Andrew Davis,Action|Adventure|Crime|Drama|Mystery|Thriller,the fugitive,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action|Adventure|Crime|Drama|Mystery|Thriller
1139,Gerard Butler,Dorian Missick,Peter Greene,Andy Tennant,Action|Comedy|Romance,the bounty hunter,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action|Comedy|Romance
1140,Robert De Niro,Brad Pitt,Minnie Driver,Barry Levinson,Crime|Drama|Thriller,sleepers,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime|Drama|Thriller
1141,Sylvester Stallone,Julia Nickson,Martin Kove,George P. Cosmatos,Action|Adventure|Thriller|War,rambo: first blood part ii,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action|Adventure|Thriller|War
1142,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Brian Gibson,Drama|Thriller,the juror,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama|Thriller
1143,Mel Blanc,Dickie Jones,Cliff Edwards,Norman Ferguson,Animation|Family|Fantasy|Musical,pinocchio,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation|Family|Fantasy|Musical
1144,Jeff Bridges,Sam Waterston,Isabelle Huppert,Michael Cimino,Adventure|Drama|Western,heaven's gate,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure|Drama|Western
1145,Sophia Myles,Tony Curran,Derek Jacobi,Len Wiseman,Action|Adventure|Fantasy|Sci-Fi|Thriller,underworld: evolution,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action|Adventure|Fantasy|Sci-Fi|Thriller
1146,Daniel Radcliffe,Spencer Wilding,Daniel Mays,Paul McGuigan,Drama|Horror|Sci-Fi|Thriller,victor frankenstein,Daniel Radcliffe Spencer Wilding Daniel Mays Paul McGuigan Drama|Horror|Sci-Fi|Thriller
1147,F. Murray Abraham,Rob Brown,Michael Nouri,Gus Van Sant,Drama,finding forrester,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
1148,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Betty Thomas,Comedy|Drama,28 days,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy|Drama
1149,Morgan Freeman,Jet Li,Bob Hoskins,Louis Leterrier,Action|Crime|Drama|Thriller,unleashed,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action|Crime|Drama|Thriller
1150,Judith Chapman,Lillian Adams,Chelsea Bond,Roger Kumble,Comedy|Romance,the sweetest thing,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy|Romance
1151,Tom Cruise,Holly Hunter,Wilford Brimley,Sydney Pollack,Drama|Mystery|Thriller,the firm,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama|Mystery|Thriller
1152,Augustus Prew,Charlie Tahan,Valerie Tian,Burr Steers,Drama|Fantasy|Romance,charlie st. cloud,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama|Fantasy|Romance
1153,Jason Statham,Tony Goldwyn,Mini Anden,Simon West,Action|Crime|Thriller,the mechanic,Jason Statham Tony Goldwyn Mini Anden Simon West Action|Crime|Thriller
1154,Channing Tatum,Dax Flame,Rob Riggle,Phil Lord,Action|Comedy|Crime,21 jump street,Channing Tatum Dax Flame Rob Riggle Phil Lord Action|Comedy|Crime
1155,Julia Roberts,Clarke Peters,Dylan Moran,Roger Michell,Comedy|Drama|Romance,notting hill,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy|Drama|Romance
1156,Imelda Staunton,Miranda Richardson,Julia Sawalha,Peter Lord,Adventure|Animation|Comedy|Drama|Family,chicken run,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure|Animation|Comedy|Drama|Family
1157,Philip Seymour Hoffman,Masi Oka,Debra Messing,John Hamburg,Comedy|Romance,along came polly,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy|Romance
1158,John Witherspoon,Eartha Kitt,Geoffrey Holder,Reginald Hudlin,Comedy|Drama|Romance,boomerang,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy|Drama|Romance
1159,Michael Rapaport,William Xifaras,Demián Bichir,Paul Feig,Action|Comedy|Crime,the heat,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action|Comedy|Crime
1160,Martin Landau,Richard Burton,Roddy McDowall,Joseph L. Mankiewicz,Biography|Drama|History|Romance,cleopatra,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography|Drama|History|Romance
1161,Salma Hayek,Reggie Lee,Charice,Frank Coraci,Action|Comedy|Sport,here comes the boom,Salma Hayek Reggie Lee Charice Frank Coraci Action|Comedy|Sport
1162,Morgan Freeman,Adam Scott,Bruce Davison,Carl Franklin,Crime|Drama|Mystery|Thriller,high crimes,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime|Drama|Mystery|Thriller
1163,Jeff Bridges,Austin Pendleton,Mimi Rogers,Barbra Streisand,Comedy|Drama|Romance,the mirror has two faces,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy|Drama|Romance
1164,Debra Messing,Will Patton,David Eigenberg,Mark Pellington,Drama|Horror|Mystery|Thriller,the mothman prophecies,Debra Messing Will Patton David Eigenberg Mark Pellington Drama|Horror|Mystery|Thriller
1165,Bono,Elton John,Slash,Larry Charles,Comedy,brüno,Bono Elton John Slash Larry Charles Comedy
1166,Robert Davi,Talisa Soto,Anthony Zerbe,John Glen,Action|Adventure|Thriller,licence to kill,Robert Davi Talisa Soto Anthony Zerbe John Glen Action|Adventure|Thriller
1167,Gary Oldman,Billy Burke,Virginia Madsen,Catherine Hardwicke,Fantasy|Horror|Mystery|Thriller,red riding hood,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy|Horror|Mystery|Thriller
1168,Robert De Niro,Charlize Theron,Kelsey Grammer,John Herzfeld,Action|Crime|Drama|Thriller,15 minutes,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action|Crime|Drama|Thriller
1169,Bob Hoskins,Fisher Stevens,Fiona Shaw,Annabel Jankel,Adventure|Comedy|Family|Fantasy|Sci-Fi,super mario bros.,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure|Comedy|Family|Fantasy|Sci-Fi
1170,Nicolas Cage,Jeremy Crutchley,Jared Burke,Andrew Niccol,Crime|Drama|Thriller,lord of war,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime|Drama|Thriller
1171,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Yimou Zhang,Action|Adventure|History,hero,Jet Li Tony Chiu Wai Leung Maggie Cheung Yimou Zhang Action|Adventure|History
1172,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Julie Anne Robinson,Action|Comedy|Crime|Romance|Thriller,one for the money,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action|Comedy|Crime|Romance|Thriller
1173,James Franco,Randall Park,Anders Holm,Evan Goldberg,Comedy,the interview,James Franco Randall Park Anders Holm Evan Goldberg Comedy
1174,Tony Cox,Dong-gun Jang,Jed Brophy,Sngmoo Lee,Action|Fantasy|Western,the warrior's way,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action|Fantasy|Western
1175,Tim Conway,Gavin MacLeod,Bob Hastings,unknown,Comedy|War,mchale's navy            ,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy|War
1176,Omar Sy,Dany Boon,André Dussollier,Jean-Pierre Jeunet,Action|Comedy|Crime,micmacs,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action|Comedy|Crime
1177,Mekhi Phifer,Omar Benson Miller,Evan Jones,Curtis Hanson,Drama|Music,8 mile,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama|Music
1178,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Jamel Debbouze,Adventure|Animation|Comedy|Family,animal kingdom: let's go ape,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure|Animation|Comedy|Family
1179,Heath Ledger,Rufus Sewell,Bérénice Bejo,Brian Helgeland,Action|Adventure|Romance,a knight's tale,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action|Adventure|Romance
1180,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Gordon Chan,Action|Comedy|Fantasy,the medallion,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action|Comedy|Fantasy
1181,Bruce Willis,Haley Joel Osment,Olivia Williams,M. Night Shyamalan,Drama|Mystery|Thriller,the sixth sense,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama|Mystery|Thriller
1182,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Asger Leth,Action|Crime|Thriller,man on a ledge,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action|Crime|Thriller
1183,Joel McHale,Kevin Pollak,JoBeth Williams,David Frankel,Comedy,the big year,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
1184,Martin Kove,William Zabka,William Bassett,John G. Avildsen,Action|Drama|Family|Sport,the karate kid,Martin Kove William Zabka William Bassett John G. Avildsen Action|Drama|Family|Sport
1185,Jennifer Lawrence,Christian Bale,Bradley Cooper,David O. Russell,Crime|Drama,american hustle,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime|Drama
1186,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Anne Fletcher,Comedy|Drama|Romance,the proposal,Ryan Reynolds Denis O'Hare Craig T. Nelson Anne Fletcher Comedy|Drama|Romance
1187,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Bruce Beresford,Crime|Mystery|Thriller,double jeopardy,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime|Mystery|Thriller
1188,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Robert Zemeckis,Adventure|Comedy|Sci-Fi,back to the future part ii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure|Comedy|Sci-Fi
1189,Scarlett Johansson,Morgan Freeman,Amr Waked,Luc Besson,Action|Sci-Fi|Thriller,lucy,Scarlett Johansson Morgan Freeman Amr Waked Luc Besson Action|Sci-Fi|Thriller
1190,Jennifer Ehle,Luke Grimes,Callum Rennie,Sam Taylor-Johnson,Drama|Romance,fifty shades of grey,Jennifer Ehle Luke Grimes Callum Rennie Sam Taylor-Johnson Drama|Romance
1191,Sylvester Stallone,Salma Hayek,Alexa PenaVega,Robert Rodriguez,Action|Adventure|Comedy|Family|Sci-Fi,spy kids 3-d: game over,Sylvester Stallone Salma Hayek Alexa PenaVega Robert Rodriguez Action|Adventure|Comedy|Family|Sci-Fi
1192,Kevin Spacey,Matthew McConaughey,Oliver Platt,Joel Schumacher,Crime|Drama|Thriller,a time to kill,Kevin Spacey Matthew McConaughey Oliver Platt Joel Schumacher Crime|Drama|Thriller
1193,Tom Welling,Alyson Stoner,Bonnie Hunt,Shawn Levy,Comedy|Family,cheaper by the dozen,Tom Welling Alyson Stoner Bonnie Hunt Shawn Levy Comedy|Family
1194,Jerry Ferrara,Scott Elrod,Dan Bilzerian,Peter Berg,Action|Biography|Drama|Thriller|War,lone survivor,Jerry Ferrara Scott Elrod Dan Bilzerian Peter Berg Action|Biography|Drama|Thriller|War
1195,Tom Hanks,Lori Petty,Rosie O'Donnell,Penny Marshall,Comedy|Drama|Sport,a league of their own,Tom Hanks Lori Petty Rosie O'Donnell Penny Marshall Comedy|Drama|Sport
1196,Javier Botet,Frances O'Connor,Robin Atkin Downes,James Wan,Horror|Mystery|Thriller,the conjuring 2,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror|Mystery|Thriller
1197,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,David Fincher,Biography|Drama,the social network,Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope David Fincher Biography|Drama
1198,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Ken Kwapis,Comedy|Drama|Romance,he's just not that into you,Carmen Perez Sabrina Revelle Sachiko Ishida Ken Kwapis Comedy|Drama|Romance
1199,Beau Mirchoff,Carmen Electra,Regina Hall,David Zucker,Comedy,scary movie 4,Beau Mirchoff Carmen Electra Regina Hall David Zucker Comedy
